"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MAX"
"4130","0.9722935267857142","0.9722935267857142","0.9722935267857142"
"4200","0.8482979910714286","0.8482979910714286","0.8482979910714286"
"4270","0.9811662946428571","0.9811662946428571","0.9811662946428571"
"4340","0.9145228794642857","0.9145228794642857","0.9145228794642857"
"4410","0.9021623883928571","0.9021623883928571","0.9021623883928571"
"4480","0.8805524553571429","0.8805524553571429","0.8805524553571429"
"4550","0.8324497767857143","0.8324497767857143","0.8324497767857143"
"4620","0.8729631696428571","0.8729631696428571","0.8729631696428571"
"4690","0.7374930245535715","0.7374930245535715","0.7374930245535715"
"4760","0.8575823102678571","0.8575823102678571","0.8575823102678571"
"4830","0.7802734375","0.7802734375","0.7802734375"
"4900","0.7386090959821429","0.7386090959821429","0.7386090959821429"
"4970","0.9151088169642857","0.9151088169642857","0.9151088169642857"
"5040","0.6955008370535715","0.6955008370535715","0.6955008370535715"
"5110","0.6913155691964286","0.6913155691964286","0.6913155691964286"
"5180","0.7988630022321429","0.7988630022321429","0.7988630022321429"
"5250","0.7902413504464286","0.7902413504464286","0.7902413504464286"
"5320","0.6191336495535714","0.6191336495535714","0.6191336495535714"
"5390","0.7577078683035714","0.7577078683035714","0.7577078683035714"
"5460","0.6811244419642857","0.6811244419642857","0.6811244419642857"
"5530","0.774169921875","0.774169921875","0.774169921875"
"5600","0.7373325892857143","0.7373325892857143","0.7373325892857143"
"5670","0.7416782924107143","0.7416782924107143","0.7416782924107143"
"5740","0.6904645647321429","0.6904645647321429","0.6904645647321429"
"5810","0.6566685267857143","0.6566685267857143","0.6566685267857143"
"5880","0.7149344308035714","0.7149344308035714","0.7149344308035714"
"5950","0.6454659598214286","0.6454659598214286","0.6454659598214286"
