"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_pitch_time_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_pitch_time_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_pitch_time_acc__MAX"
"70","0.5019607843137255","0.5019607843137255","0.5019607843137255"
"140","0.49901960784313726","0.49901960784313726","0.49901960784313726"
"210","0.4950980392156863","0.4950980392156863","0.4950980392156863"
"280","0.5009803921568627","0.5009803921568627","0.5009803921568627"
"350","0.5088235294117647","0.5088235294117647","0.5088235294117647"
"420","0.5098039215686274","0.5098039215686274","0.5098039215686274"
"490","0.503921568627451","0.503921568627451","0.503921568627451"
"560","0.5117647058823529","0.5117647058823529","0.5117647058823529"
"630","0.49901960784313726","0.49901960784313726","0.49901960784313726"
"700","0.5186274509803922","0.5186274509803922","0.5186274509803922"
"770","0.5088235294117647","0.5088235294117647","0.5088235294117647"
"840","0.5137254901960784","0.5137254901960784","0.5137254901960784"
"910","0.5166666666666667","0.5166666666666667","0.5166666666666667"
"980","0.5264705882352941","0.5264705882352941","0.5264705882352941"
"1050","0.546078431372549","0.546078431372549","0.546078431372549"
"1120","0.5470588235294118","0.5470588235294118","0.5470588235294118"
"1190","0.5568627450980392","0.5568627450980392","0.5568627450980392"
"1260","0.538235294117647","0.538235294117647","0.538235294117647"
"1330","0.5401960784313725","0.5401960784313725","0.5401960784313725"
"1400","0.542156862745098","0.542156862745098","0.542156862745098"
"1470","0.5441176470588235","0.5441176470588235","0.5441176470588235"
"1540","0.5411764705882353","0.5411764705882353","0.5411764705882353"
"1610","0.5411764705882353","0.5411764705882353","0.5411764705882353"
"1680","0.5549019607843138","0.5549019607843138","0.5549019607843138"
"1750","0.546078431372549","0.546078431372549","0.546078431372549"
"1820","0.542156862745098","0.542156862745098","0.542156862745098"
"1890","0.5362745098039216","0.5362745098039216","0.5362745098039216"
"1960","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"2030","0.5323529411764706","0.5323529411764706","0.5323529411764706"
"2100","0.5323529411764706","0.5323529411764706","0.5323529411764706"
"2170","0.5215686274509804","0.5215686274509804","0.5215686274509804"
"2240","0.5215686274509804","0.5215686274509804","0.5215686274509804"
"2310","0.5245098039215687","0.5245098039215687","0.5245098039215687"
"2380","0.5254901960784314","0.5254901960784314","0.5254901960784314"
"2450","0.5196078431372549","0.5196078431372549","0.5196078431372549"
"2520","0.5284313725490196","0.5284313725490196","0.5284313725490196"
"2590","0.5313725490196078","0.5313725490196078","0.5313725490196078"
"2660","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"2730","0.5294117647058824","0.5294117647058824","0.5294117647058824"
"2800","0.5343137254901961","0.5343137254901961","0.5343137254901961"
"2870","0.5323529411764706","0.5323529411764706","0.5323529411764706"
"2940","0.5274509803921569","0.5274509803921569","0.5274509803921569"
"3010","0.5205882352941177","0.5205882352941177","0.5205882352941177"
"3080","0.5235294117647059","0.5235294117647059","0.5235294117647059"
"3150","0.5372549019607843","0.5372549019607843","0.5372549019607843"
"3220","0.5431372549019607","0.5431372549019607","0.5431372549019607"
"3290","0.5372549019607843","0.5372549019607843","0.5372549019607843"
"3360","0.542156862745098","0.542156862745098","0.542156862745098"
"3430","0.546078431372549","0.546078431372549","0.546078431372549"
"3500","0.5392156862745098","0.5392156862745098","0.5392156862745098"
"3570","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"3640","0.5401960784313725","0.5401960784313725","0.5401960784313725"
"3710","0.5470588235294118","0.5470588235294118","0.5470588235294118"
"3780","0.5450980392156862","0.5450980392156862","0.5450980392156862"
"3850","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"3920","0.5450980392156862","0.5450980392156862","0.5450980392156862"
"3990","0.5558823529411765","0.5558823529411765","0.5558823529411765"
"4060","0.5588235294117647","0.5588235294117647","0.5588235294117647"
"4130","0.5549019607843138","0.5549019607843138","0.5549019607843138"
"4200","0.5549019607843138","0.5549019607843138","0.5549019607843138"
"4270","0.5568627450980392","0.5568627450980392","0.5568627450980392"
"4340","0.5509803921568628","0.5509803921568628","0.5509803921568628"
"4410","0.542156862745098","0.542156862745098","0.542156862745098"
"4480","0.55","0.55","0.55"
"4550","0.542156862745098","0.542156862745098","0.542156862745098"
"4620","0.546078431372549","0.546078431372549","0.546078431372549"
"4690","0.5588235294117647","0.5588235294117647","0.5588235294117647"
"4760","0.5401960784313725","0.5401960784313725","0.5401960784313725"
"4830","0.5323529411764706","0.5323529411764706","0.5323529411764706"
"4900","0.5450980392156862","0.5450980392156862","0.5450980392156862"
"4970","0.5411764705882353","0.5411764705882353","0.5411764705882353"
"5040","0.5529411764705883","0.5529411764705883","0.5529411764705883"
"5110","0.5568627450980392","0.5568627450980392","0.5568627450980392"
"5180","0.5490196078431373","0.5490196078431373","0.5490196078431373"
"5250","0.5401960784313725","0.5401960784313725","0.5401960784313725"
"5320","0.5509803921568628","0.5509803921568628","0.5509803921568628"
"5390","0.5470588235294118","0.5470588235294118","0.5470588235294118"
"5460","0.5490196078431373","0.5490196078431373","0.5490196078431373"
"5530","0.5588235294117647","0.5588235294117647","0.5588235294117647"
"5600","0.5490196078431373","0.5490196078431373","0.5490196078431373"
"5670","0.5588235294117647","0.5588235294117647","0.5588235294117647"
"5740","0.5490196078431373","0.5490196078431373","0.5490196078431373"
"5810","0.5617647058823529","0.5617647058823529","0.5617647058823529"
"5880","0.5568627450980392","0.5568627450980392","0.5568627450980392"
"5950","0.553921568627451","0.553921568627451","0.553921568627451"
"6020","0.5598039215686275","0.5598039215686275","0.5598039215686275"
"6090","0.5549019607843138","0.5549019607843138","0.5549019607843138"
"6160","0.5549019607843138","0.5549019607843138","0.5549019607843138"
"6230","0.5529411764705883","0.5529411764705883","0.5529411764705883"
"6300","0.5588235294117647","0.5588235294117647","0.5588235294117647"
"6370","0.5705882352941176","0.5705882352941176","0.5705882352941176"
"6440","0.5617647058823529","0.5617647058823529","0.5617647058823529"
"6510","0.5656862745098039","0.5656862745098039","0.5656862745098039"
"6580","0.5617647058823529","0.5617647058823529","0.5617647058823529"
"6650","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"6720","0.5558823529411765","0.5558823529411765","0.5558823529411765"
"6790","0.5529411764705883","0.5529411764705883","0.5529411764705883"
"6860","0.5568627450980392","0.5568627450980392","0.5568627450980392"
"6930","0.5529411764705883","0.5529411764705883","0.5529411764705883"
"7000","0.5607843137254902","0.5607843137254902","0.5607843137254902"
