"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MAX"
"5110","10.611607142857142","10.611607142857142","10.611607142857142"
"5180","10.661607142857143","10.661607142857143","10.661607142857143"
"5250","10.54732142857143","10.54732142857143","10.54732142857143"
"5320","10.471428571428572","10.471428571428572","10.471428571428572"
"5390","10.60982142857143","10.60982142857143","10.60982142857143"
"5460","10.442857142857143","10.442857142857143","10.442857142857143"
"5530","10.617857142857142","10.617857142857142","10.617857142857142"
"5600","10.457142857142857","10.457142857142857","10.457142857142857"
"5670","10.551785714285714","10.551785714285714","10.551785714285714"
"5740","10.678571428571429","10.678571428571429","10.678571428571429"
"5810","10.70357142857143","10.70357142857143","10.70357142857143"
"5880","10.509821428571428","10.509821428571428","10.509821428571428"
"5950","10.496428571428572","10.496428571428572","10.496428571428572"
"6020","10.644642857142857","10.644642857142857","10.644642857142857"
"6090","10.691071428571428","10.691071428571428","10.691071428571428"
"6160","10.625892857142857","10.625892857142857","10.625892857142857"
"6230","10.817857142857143","10.817857142857143","10.817857142857143"
"6300","10.532142857142857","10.532142857142857","10.532142857142857"
"6370","10.719642857142857","10.719642857142857","10.719642857142857"
"6440","10.764285714285714","10.764285714285714","10.764285714285714"
"6510","10.684821428571428","10.684821428571428","10.684821428571428"
"6580","10.752678571428572","10.752678571428572","10.752678571428572"
"6650","10.683035714285714","10.683035714285714","10.683035714285714"
"6720","10.73125","10.73125","10.73125"
"6790","10.720535714285715","10.720535714285715","10.720535714285715"
"6860","10.864285714285714","10.864285714285714","10.864285714285714"
"6930","10.78125","10.78125","10.78125"
"7000","10.854464285714286","10.854464285714286","10.854464285714286"
"7070","10.835714285714285","10.835714285714285","10.835714285714285"
"7140","10.767857142857142","10.767857142857142","10.767857142857142"
"7210","10.929464285714285","10.929464285714285","10.929464285714285"
"7280","10.788392857142858","10.788392857142858","10.788392857142858"
"7350","10.825892857142858","10.825892857142858","10.825892857142858"
"7420","10.91875","10.91875","10.91875"
"7490","10.816071428571428","10.816071428571428","10.816071428571428"
"7560","10.858035714285714","10.858035714285714","10.858035714285714"
"7630","10.910714285714286","10.910714285714286","10.910714285714286"
"7700","10.790178571428571","10.790178571428571","10.790178571428571"
"7770","10.932142857142857","10.932142857142857","10.932142857142857"
"7840","10.74375","10.74375","10.74375"
"7910","10.766964285714286","10.766964285714286","10.766964285714286"
"7980","10.898214285714285","10.898214285714285","10.898214285714285"
"8050","10.864285714285714","10.864285714285714","10.864285714285714"
"8120","10.79375","10.79375","10.79375"
"8190","10.7875","10.7875","10.7875"
"8260","10.839285714285714","10.839285714285714","10.839285714285714"
"8330","10.98392857142857","10.98392857142857","10.98392857142857"
"8400","10.933928571428572","10.933928571428572","10.933928571428572"
"8470","10.965178571428572","10.965178571428572","10.965178571428572"
"8540","10.92142857142857","10.92142857142857","10.92142857142857"
"8610","10.949107142857143","10.949107142857143","10.949107142857143"
"8680","10.960714285714285","10.960714285714285","10.960714285714285"
"8750","10.725892857142858","10.725892857142858","10.725892857142858"
"8820","10.911607142857143","10.911607142857143","10.911607142857143"
"8890","10.949107142857143","10.949107142857143","10.949107142857143"
"8960","11.074107142857143","11.074107142857143","11.074107142857143"
"9030","10.99375","10.99375","10.99375"
"9100","10.8875","10.8875","10.8875"
"9170","11.035714285714286","11.035714285714286","11.035714285714286"
"9240","11.082142857142857","11.082142857142857","11.082142857142857"
"9310","10.9125","10.9125","10.9125"
"9380","11","11","11"
"9450","10.99375","10.99375","10.99375"
"9520","11.119642857142857","11.119642857142857","11.119642857142857"
"9590","11.069642857142858","11.069642857142858","11.069642857142858"
"9660","11.102678571428571","11.102678571428571","11.102678571428571"
"9730","11.119642857142857","11.119642857142857","11.119642857142857"
"9800","10.961607142857142","10.961607142857142","10.961607142857142"
"9870","11.05625","11.05625","11.05625"
"9940","10.966964285714285","10.966964285714285","10.966964285714285"
"10010","11.213392857142857","11.213392857142857","11.213392857142857"
"10080","11.001785714285715","11.001785714285715","11.001785714285715"
"10150","10.958928571428572","10.958928571428572","10.958928571428572"
"10220","11.083928571428572","11.083928571428572","11.083928571428572"
"10290","10.942857142857143","10.942857142857143","10.942857142857143"
"10360","11.055357142857142","11.055357142857142","11.055357142857142"
"10430","10.98392857142857","10.98392857142857","10.98392857142857"
"10500","11.027678571428572","11.027678571428572","11.027678571428572"
"10570","10.977678571428571","10.977678571428571","10.977678571428571"
"10640","11.057142857142857","11.057142857142857","11.057142857142857"
"10710","11.29732142857143","11.29732142857143","11.29732142857143"
"10780","11.049107142857142","11.049107142857142","11.049107142857142"
"10850","11.069642857142858","11.069642857142858","11.069642857142858"
"10920","11.004464285714286","11.004464285714286","11.004464285714286"
"10990","11.114285714285714","11.114285714285714","11.114285714285714"
"11060","11.075","11.075","11.075"
"11130","11.036607142857143","11.036607142857143","11.036607142857143"
"11200","11.230357142857143","11.230357142857143","11.230357142857143"
"11270","11.0625","11.0625","11.0625"
"11340","11.14017857142857","11.14017857142857","11.14017857142857"
"11410","11.083035714285714","11.083035714285714","11.083035714285714"
"11480","11.119642857142857","11.119642857142857","11.119642857142857"
"11550","11.14107142857143","11.14107142857143","11.14107142857143"
"11620","11.125892857142857","11.125892857142857","11.125892857142857"
"11690","11.2375","11.2375","11.2375"
"11760","11.130357142857143","11.130357142857143","11.130357142857143"
"11830","11.266964285714286","11.266964285714286","11.266964285714286"
"11900","11.216071428571428","11.216071428571428","11.216071428571428"
"11970","11.10892857142857","11.10892857142857","11.10892857142857"
"12040","11.032142857142857","11.032142857142857","11.032142857142857"
"12110","11.123214285714285","11.123214285714285","11.123214285714285"
"12180","11.136607142857143","11.136607142857143","11.136607142857143"
"12250","11.151785714285714","11.151785714285714","11.151785714285714"
"12320","11.253571428571428","11.253571428571428","11.253571428571428"
"12390","11.183928571428572","11.183928571428572","11.183928571428572"
"12460","11.257142857142858","11.257142857142858","11.257142857142858"
"12530","11.153571428571428","11.153571428571428","11.153571428571428"
"12600","11.288392857142858","11.288392857142858","11.288392857142858"
"12670","11.095535714285715","11.095535714285715","11.095535714285715"
"12740","11.248214285714285","11.248214285714285","11.248214285714285"
"12810","11.220535714285715","11.220535714285715","11.220535714285715"
"12880","11.209821428571429","11.209821428571429","11.209821428571429"
"12950","11.107142857142858","11.107142857142858","11.107142857142858"
"13020","11.1875","11.1875","11.1875"
"13090","11.090178571428572","11.090178571428572","11.090178571428572"
"13160","11.352678571428571","11.352678571428571","11.352678571428571"
"13230","11.371428571428572","11.371428571428572","11.371428571428572"
"13300","11.114285714285714","11.114285714285714","11.114285714285714"
"13370","11.302678571428572","11.302678571428572","11.302678571428572"
"13440","11.313392857142857","11.313392857142857","11.313392857142857"
"13510","11.153571428571428","11.153571428571428","11.153571428571428"
"13580","11.14017857142857","11.14017857142857","11.14017857142857"
"13650","11.257142857142858","11.257142857142858","11.257142857142858"
"13720","11.214285714285714","11.214285714285714","11.214285714285714"
"13790","11.283928571428572","11.283928571428572","11.283928571428572"
"13860","11.14017857142857","11.14017857142857","11.14017857142857"
"13930","11.302678571428572","11.302678571428572","11.302678571428572"
"14000","11.324107142857143","11.324107142857143","11.324107142857143"
"14070","11.248214285714285","11.248214285714285","11.248214285714285"
"14140","11.321428571428571","11.321428571428571","11.321428571428571"
"14210","11.251785714285715","11.251785714285715","11.251785714285715"
"14280","11.325","11.325","11.325"
"14350","11.315178571428572","11.315178571428572","11.315178571428572"
"14420","11.217857142857143","11.217857142857143","11.217857142857143"
"14490","11.255357142857143","11.255357142857143","11.255357142857143"
"14560","11.188392857142857","11.188392857142857","11.188392857142857"
"14630","11.383035714285715","11.383035714285715","11.383035714285715"
"14700","11.246428571428572","11.246428571428572","11.246428571428572"
"14770","11.122321428571428","11.122321428571428","11.122321428571428"
"14840","11.261607142857143","11.261607142857143","11.261607142857143"
"14910","11.164285714285715","11.164285714285715","11.164285714285715"
"14980","11.333035714285714","11.333035714285714","11.333035714285714"
"15050","11.319642857142858","11.319642857142858","11.319642857142858"
"15120","11.317857142857143","11.317857142857143","11.317857142857143"
"15190","11.24375","11.24375","11.24375"
"15260","11.35892857142857","11.35892857142857","11.35892857142857"
"15330","11.251785714285715","11.251785714285715","11.251785714285715"
"15400","11.28125","11.28125","11.28125"
"15470","11.269642857142857","11.269642857142857","11.269642857142857"
"15540","11.408035714285715","11.408035714285715","11.408035714285715"
"15610","11.366071428571429","11.366071428571429","11.366071428571429"
"15680","11.329464285714286","11.329464285714286","11.329464285714286"
"15750","11.145535714285714","11.145535714285714","11.145535714285714"
"15820","11.310714285714285","11.310714285714285","11.310714285714285"
"15890","11.26517857142857","11.26517857142857","11.26517857142857"
"15960","11.489285714285714","11.489285714285714","11.489285714285714"
"16030","11.410714285714286","11.410714285714286","11.410714285714286"
"16100","11.3625","11.3625","11.3625"
"16170","11.450892857142858","11.450892857142858","11.450892857142858"
"16240","11.459821428571429","11.459821428571429","11.459821428571429"
"16310","11.2375","11.2375","11.2375"
"16380","11.291964285714286","11.291964285714286","11.291964285714286"
"16450","11.411607142857143","11.411607142857143","11.411607142857143"
"16520","11.397321428571429","11.397321428571429","11.397321428571429"
"16590","11.325","11.325","11.325"
"16660","11.253571428571428","11.253571428571428","11.253571428571428"
"16730","11.278571428571428","11.278571428571428","11.278571428571428"
"16800","11.307142857142857","11.307142857142857","11.307142857142857"
"16870","11.383035714285715","11.383035714285715","11.383035714285715"
"16940","11.275","11.275","11.275"
"17010","11.31875","11.31875","11.31875"
"17080","11.342857142857143","11.342857142857143","11.342857142857143"
"17150","11.26875","11.26875","11.26875"
"17220","11.26875","11.26875","11.26875"
"17290","11.380357142857143","11.380357142857143","11.380357142857143"
"17360","11.350892857142858","11.350892857142858","11.350892857142858"
"17430","11.316964285714286","11.316964285714286","11.316964285714286"
"17500","11.355357142857143","11.355357142857143","11.355357142857143"
"17570","11.35892857142857","11.35892857142857","11.35892857142857"
"17640","11.383928571428571","11.383928571428571","11.383928571428571"
"17710","11.392857142857142","11.392857142857142","11.392857142857142"
"17780","11.416964285714286","11.416964285714286","11.416964285714286"
"17850","11.41875","11.41875","11.41875"
"17920","11.319642857142858","11.319642857142858","11.319642857142858"
"17990","11.448214285714286","11.448214285714286","11.448214285714286"
"18060","11.514285714285714","11.514285714285714","11.514285714285714"
"18130","11.209821428571429","11.209821428571429","11.209821428571429"
"18200","11.433928571428572","11.433928571428572","11.433928571428572"
"18270","11.438392857142857","11.438392857142857","11.438392857142857"
"18340","11.449107142857143","11.449107142857143","11.449107142857143"
"18410","11.400892857142857","11.400892857142857","11.400892857142857"
"18480","11.32857142857143","11.32857142857143","11.32857142857143"
"18550","11.486607142857142","11.486607142857142","11.486607142857142"
"18620","11.550892857142857","11.550892857142857","11.550892857142857"
"18690","11.333035714285714","11.333035714285714","11.333035714285714"
"18760","11.338392857142857","11.338392857142857","11.338392857142857"
"18830","11.39107142857143","11.39107142857143","11.39107142857143"
