"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MAX"
"9800","0.83203125","0.83203125","0.83203125"
"9870","0.84765625","0.84765625","0.84765625"
"9940","0.83984375","0.83984375","0.83984375"
"10010","0.83203125","0.83203125","0.83203125"
"10080","0.80078125","0.80078125","0.80078125"
"10150","0.8125","0.8125","0.8125"
"10220","0.67578125","0.67578125","0.67578125"
"10290","0.6875","0.6875","0.6875"
"10360","0.890625","0.890625","0.890625"
"10430","0.71484375","0.71484375","0.71484375"
"10500","1.0625","1.0625","1.0625"
"10570","0.83984375","0.83984375","0.83984375"
"10640","0.64453125","0.64453125","0.64453125"
"10710","0.93359375","0.93359375","0.93359375"
"10780","0.63671875","0.63671875","0.63671875"
"10850","0.88671875","0.88671875","0.88671875"
"10920","0.69921875","0.69921875","0.69921875"
"10990","0.89453125","0.89453125","0.89453125"
"11060","0.64453125","0.64453125","0.64453125"
"11130","0.91796875","0.91796875","0.91796875"
"11200","0.921875","0.921875","0.921875"
"11270","0.458984375","0.458984375","0.458984375"
"11340","0.65234375","0.65234375","0.65234375"
"11410","0.76953125","0.76953125","0.76953125"
"11480","0.87109375","0.87109375","0.87109375"
"11550","0.8125","0.8125","0.8125"
"11620","0.84375","0.84375","0.84375"
"11690","0.58984375","0.58984375","0.58984375"
"11760","0.578125","0.578125","0.578125"
"11830","0.953125","0.953125","0.953125"
"11900","0.546875","0.546875","0.546875"
"11970","0.75","0.75","0.75"
"12040","0.85546875","0.85546875","0.85546875"
"12110","0.78125","0.78125","0.78125"
"12180","0.87890625","0.87890625","0.87890625"
"12250","0.55078125","0.55078125","0.55078125"
"12320","0.54296875","0.54296875","0.54296875"
"12390","0.65234375","0.65234375","0.65234375"
"12460","0.84375","0.84375","0.84375"
"12530","0.73828125","0.73828125","0.73828125"
"12600","0.58984375","0.58984375","0.58984375"
"12670","0.515625","0.515625","0.515625"
"12740","0.80859375","0.80859375","0.80859375"
"12810","0.89453125","0.89453125","0.89453125"
"12880","0.73046875","0.73046875","0.73046875"
"12950","0.82421875","0.82421875","0.82421875"
"13020","0.96875","0.96875","0.96875"
"13090","0.72265625","0.72265625","0.72265625"
"13160","0.63671875","0.63671875","0.63671875"
"13230","0.76171875","0.76171875","0.76171875"
"13300","0.828125","0.828125","0.828125"
"13370","0.474609375","0.474609375","0.474609375"
"13440","0.67578125","0.67578125","0.67578125"
"13510","0.62109375","0.62109375","0.62109375"
"13580","0.83984375","0.83984375","0.83984375"
"13650","0.58984375","0.58984375","0.58984375"
"13720","0.859375","0.859375","0.859375"
"13790","0.67578125","0.67578125","0.67578125"
"13860","0.68359375","0.68359375","0.68359375"
"13930","0.859375","0.859375","0.859375"
"14000","0.53515625","0.53515625","0.53515625"
