"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MAX"
"8260","0.8953125","0.8953125","0.8953125"
"8330","0.89375","0.89375","0.89375"
"8400","0.9","0.9","0.9"
"8470","0.890625","0.890625","0.890625"
"8540","0.8921875","0.8921875","0.8921875"
"8610","0.8859375","0.8859375","0.8859375"
"8680","0.884375","0.884375","0.884375"
"8750","0.8890625","0.8890625","0.8890625"
"8820","0.8921875","0.8921875","0.8921875"
"8890","0.8859375","0.8859375","0.8859375"
"8960","0.890625","0.890625","0.890625"
"9030","0.8953125","0.8953125","0.8953125"
"9100","0.8984375","0.8984375","0.8984375"
"9170","0.8953125","0.8953125","0.8953125"
"9240","0.8921875","0.8921875","0.8921875"
"9310","0.89375","0.89375","0.89375"
"9380","0.896875","0.896875","0.896875"
"9450","0.8875","0.8875","0.8875"
"9520","0.884375","0.884375","0.884375"
"9590","0.890625","0.890625","0.890625"
"9660","0.8859375","0.8859375","0.8859375"
"9730","0.8953125","0.8953125","0.8953125"
"9800","0.8953125","0.8953125","0.8953125"
"9870","0.89375","0.89375","0.89375"
"9940","0.896875","0.896875","0.896875"
"10010","0.8984375","0.8984375","0.8984375"
"10080","0.8953125","0.8953125","0.8953125"
"10150","0.896875","0.896875","0.896875"
"10220","0.9","0.9","0.9"
"10290","0.890625","0.890625","0.890625"
"10360","0.8875","0.8875","0.8875"
"10430","0.8890625","0.8890625","0.8890625"
"10500","0.8875","0.8875","0.8875"
"10570","0.8875","0.8875","0.8875"
"10640","0.8875","0.8875","0.8875"
"10710","0.88125","0.88125","0.88125"
"10780","0.88125","0.88125","0.88125"
"10850","0.8890625","0.8890625","0.8890625"
"10920","0.884375","0.884375","0.884375"
"10990","0.8828125","0.8828125","0.8828125"
"11060","0.8859375","0.8859375","0.8859375"
"11130","0.884375","0.884375","0.884375"
"11200","0.884375","0.884375","0.884375"
"11270","0.8828125","0.8828125","0.8828125"
"11340","0.890625","0.890625","0.890625"
"11410","0.890625","0.890625","0.890625"
"11480","0.8828125","0.8828125","0.8828125"
"11550","0.8875","0.8875","0.8875"
"11620","0.884375","0.884375","0.884375"
"11690","0.8953125","0.8953125","0.8953125"
"11760","0.89375","0.89375","0.89375"
"11830","0.8796875","0.8796875","0.8796875"
"11900","0.8921875","0.8921875","0.8921875"
"11970","0.8953125","0.8953125","0.8953125"
"12040","0.890625","0.890625","0.890625"
"12110","0.890625","0.890625","0.890625"
"12180","0.8859375","0.8859375","0.8859375"
"12250","0.8890625","0.8890625","0.8890625"
"12320","0.89375","0.89375","0.89375"
"12390","0.896875","0.896875","0.896875"
"12460","0.8953125","0.8953125","0.8953125"
"12530","0.8921875","0.8921875","0.8921875"
"12600","0.8875","0.8875","0.8875"
"12670","0.896875","0.896875","0.896875"
"12740","0.9","0.9","0.9"
"12810","0.903125","0.903125","0.903125"
"12880","0.9","0.9","0.9"
"12950","0.9078125","0.9078125","0.9078125"
"13020","0.89375","0.89375","0.89375"
