"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_rms_electrode_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_rms_electrode_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_rms_electrode_acc__MAX"
"70","0.503921568627451","0.503921568627451","0.503921568627451"
"140","0.5137254901960784","0.5137254901960784","0.5137254901960784"
"210","0.5392156862745098","0.5392156862745098","0.5392156862745098"
"280","0.5509803921568628","0.5509803921568628","0.5509803921568628"
"350","0.5607843137254902","0.5607843137254902","0.5607843137254902"
"420","0.5529411764705883","0.5529411764705883","0.5529411764705883"
"490","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"560","0.5862745098039216","0.5862745098039216","0.5862745098039216"
"630","0.5676470588235294","0.5676470588235294","0.5676470588235294"
"700","0.5598039215686275","0.5598039215686275","0.5598039215686275"
"770","0.5774509803921568","0.5774509803921568","0.5774509803921568"
"840","0.5862745098039216","0.5862745098039216","0.5862745098039216"
"910","0.6029411764705882","0.6029411764705882","0.6029411764705882"
"980","0.5990196078431372","0.5990196078431372","0.5990196078431372"
"1050","0.6039215686274509","0.6039215686274509","0.6039215686274509"
"1120","0.611764705882353","0.611764705882353","0.611764705882353"
"1190","0.6176470588235294","0.6176470588235294","0.6176470588235294"
"1260","0.6196078431372549","0.6196078431372549","0.6196078431372549"
"1330","0.611764705882353","0.611764705882353","0.611764705882353"
"1400","0.6313725490196078","0.6313725490196078","0.6313725490196078"
"1470","0.6235294117647059","0.6235294117647059","0.6235294117647059"
"1540","0.6401960784313725","0.6401960784313725","0.6401960784313725"
"1610","0.634313725490196","0.634313725490196","0.634313725490196"
"1680","0.6323529411764706","0.6323529411764706","0.6323529411764706"
"1750","0.6411764705882353","0.6411764705882353","0.6411764705882353"
"1820","0.6411764705882353","0.6411764705882353","0.6411764705882353"
"1890","0.6460784313725491","0.6460784313725491","0.6460784313725491"
"1960","0.6558823529411765","0.6558823529411765","0.6558823529411765"
"2030","0.6588235294117647","0.6588235294117647","0.6588235294117647"
"2100","0.6558823529411765","0.6558823529411765","0.6558823529411765"
"2170","0.6647058823529411","0.6647058823529411","0.6647058823529411"
